car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703644,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:09:29+00:00,2021-12-08T19:03:43+00:00,2021.11.17 ~ 2021.12.08,3.41,49.11,12.26,100.0,0.0114,89.66,76.03,203.0,0.8,90.15,75.68,5.4,70.28
M2210703645,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:27:40+00:00,2021-12-08T16:37:55+00:00,2021.11.17 ~ 2021.12.08,3.3,47.61,11.7,100.0,0.0095,93.23,90.0,293.0,1.8,98.63,79.51,5.4,74.11
M2210703646,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:21:51+00:00,2021-12-08T21:58:36+00:00,2021.11.17 ~ 2021.12.08,3.82,55.39,13.01,100.0,0.0108,90.83,90.0,381.0,1.6,93.04,80.78,5.4,75.38
M2210703647,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-22T10:28:59+00:00,2021-12-08T23:49:07+00:00,2021.11.22 ~ 2021.12.08,3.71,53.64,10.52,100.0,0.0089,94.19,90.0,256.0,0.7,87.5,79.83,5.4,74.43
M2210703648,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:44:14+00:00,2021-12-08T20:57:34+00:00,2021.11.17 ~ 2021.12.08,3.4,49.03,17.14,100.0,0.0091,93.84,90.0,238.0,0.7,91.18,78.85,5.4,73.45
M2210703650,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-20T07:58:54+00:00,2021-12-05T18:32:09+00:00,2021.11.20 ~ 2021.12.05,4.73,69.01,18.69,100.0,0.0128,85.69,90.0,411.0,1.2,96.47,85.03,5.4,79.63
M2210703652,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T17:40:31+00:00,2021-12-08T20:43:46+00:00,2021.11.17 ~ 2021.12.08,4.26,62.01,12.7,100.0,0.0087,94.38,90.0,301.0,1.8,73.26,80.28,5.4,74.88
M2210703653,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T21:40:53+00:00,2021-12-08T20:22:40+00:00,2021.11.17 ~ 2021.12.08,4.01,58.22,11.95,100.0,0.0088,94.25,90.0,288.0,1.2,66.32,77.83,5.4,72.43
M2210703654,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T13:40:21+00:00,2021-12-08T23:40:54+00:00,2021.11.17 ~ 2021.12.08,4.04,58.69,18.64,100.0,0.0115,89.42,89.65,466.0,1.1,84.55,80.17,5.4,74.77
M2210703655,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:26:30+00:00,2021-12-01T16:27:47+00:00,2021.11.17 ~ 2021.12.01,3.72,53.84,12.92,100.0,0.0169,68.3,90.0,111.0,1.7,99.1,77.52,5.4,72.12
M2210703657,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T14:18:10+00:00,2021-12-08T23:53:22+00:00,2021.11.17 ~ 2021.12.08,3.9,56.54,11.38,100.0,0.0091,93.87,90.0,517.0,0.8,87.33,80.71,5.4,75.31
M2210703658,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T09:37:20+00:00,2021-12-08T19:52:35+00:00,2021.11.17 ~ 2021.12.08,3.98,57.8,14.68,100.0,0.0117,88.93,90.0,697.0,0.9,89.96,80.75,5.4,75.35
M2210703660,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-19T07:23:59+00:00,2021-12-08T16:21:24+00:00,2021.11.19 ~ 2021.12.08,0.42,40.0,16.05,100.0,0.0085,94.68,77.89,27.0,0.5,100.0,75.43,5.4,70.03
M2210703663,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-09T17:04:03+00:00,2021-12-08T23:53:55+00:00,2021.11.09 ~ 2021.12.08,3.77,54.61,14.73,100.0,0.0111,90.31,90.0,449.0,2.0,87.75,79.55,5.4,74.15
M2210703669,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-18T00:07:50+00:00,2021-12-08T19:59:40+00:00,2021.11.18 ~ 2021.12.08,3.36,48.42,11.35,100.0,0.0122,87.52,90.0,518.0,1.1,89.96,77.39,5.4,71.99
M2210703670,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-14T12:21:29+00:00,2021-12-08T21:51:34+00:00,2021.11.14 ~ 2021.12.08,3.8,55.02,13.65,100.0,0.0089,94.09,90.0,302.0,0.8,82.28,79.4,5.4,74.0
M2210703671,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T17:03:29+00:00,2021-12-08T06:48:51+00:00,2021.11.17 ~ 2021.12.08,3.79,54.96,9.92,100.0,0.0099,92.63,90.0,331.0,0.8,81.57,79.02,5.4,73.62
M2210703672,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T20:44:01+00:00,2021-12-08T23:56:35+00:00,2021.11.17 ~ 2021.12.08,4.1,59.55,15.87,100.0,0.0104,91.65,90.0,704.0,0.9,87.64,81.4,5.4,76.0
M2210703673,EV6,중형,4.92,2021.0,1.0,2021.01,2021-11-17T10:23:55+00:00,2021-12-08T22:04:16+00:00,2021.11.17 ~ 2021.12.08,3.18,45.78,9.76,100.0,0.0128,85.82,90.0,297.0,1.2,92.09,76.58,5.4,71.18
