car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703802,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-18T12:44:34+00:00,2021-11-22T16:02:14+00:00,2021.11.18 ~ 2021.11.22,0.55,40.0,22.0,100.0,0.4071,40.0,90.0,,,80.0,65.0,5.4,59.6
M2210703864,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-26T11:15:12+00:00,2021-12-08T20:13:24+00:00,2021.11.26 ~ 2021.12.08,1.11,40.0,13.24,100.0,0.5484,40.0,79.81,107.0,4.7,89.25,64.84,5.4,59.44
M2210703932,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-18T04:40:44+00:00,2021-11-21T04:42:42+00:00,2021.11.18 ~ 2021.11.21,1.05,40.0,20.6,100.0,0.1197,40.0,90.0,306.0,1.0,84.8,65.8,5.4,60.4
M2210703934,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T18:08:20+00:00,2021-12-08T20:04:50+00:00,2021.11.17 ~ 2021.12.08,1.5,40.0,11.81,100.0,0.2684,40.0,90.0,176.0,4.9,78.98,64.83,5.4,59.43
M2210703935,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T14:28:25+00:00,2021-12-08T22:02:43+00:00,2021.11.17 ~ 2021.12.08,1.9,40.0,13.95,100.0,0.5287,40.0,90.0,816.0,1.2,87.01,66.17,5.4,60.77
M2210703936,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T19:25:18+00:00,2021-12-08T20:06:25+00:00,2021.11.17 ~ 2021.12.08,1.51,40.0,15.09,100.0,0.239,40.0,90.0,185.0,2.5,93.51,67.25,5.4,61.85
M2210703938,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T18:15:17+00:00,2021-12-08T23:22:51+00:00,2021.11.17 ~ 2021.12.08,1.68,40.0,11.63,100.0,0.0563,40.0,90.0,109.0,4.0,87.16,66.19,5.4,60.79
M2210703939,G80e,대형,4.92,2021.0,1.0,2021.01,2021-12-03T01:23:40+00:00,2021-12-05T21:34:30+00:00,2021.12.03 ~ 2021.12.05,,0.0,15.88,100.0,,99.33,79.71,,,80.0,59.84,5.4,54.44
M2210703944,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-18T04:05:41+00:00,2021-12-08T22:31:11+00:00,2021.11.18 ~ 2021.12.08,1.37,40.0,10.84,100.0,0.7363,40.0,90.0,224.0,6.1,79.46,64.91,5.4,59.51
M2210703945,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T15:32:40+00:00,2021-12-08T21:32:57+00:00,2021.11.17 ~ 2021.12.08,1.57,40.0,13.79,100.0,0.2784,40.0,90.0,294.0,3.3,99.15,68.19,5.4,62.79
M2210703946,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-12T00:37:32+00:00,2021-12-08T23:49:21+00:00,2021.11.12 ~ 2021.12.08,1.83,40.0,14.0,100.0,0.3693,40.0,90.0,382.0,5.8,87.7,66.28,5.4,60.88
M2210703947,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-17T18:19:10+00:00,2021-12-08T22:02:52+00:00,2021.11.17 ~ 2021.12.08,1.61,40.0,11.56,100.0,0.2637,40.0,90.0,748.0,1.2,94.45,67.41,5.4,62.01
M2210703948,G80e,대형,4.92,2021.0,1.0,2021.01,2021-11-19T07:59:04+00:00,2021-12-08T18:48:17+00:00,2021.11.19 ~ 2021.12.08,1.66,40.0,8.42,100.0,0.1959,40.0,90.0,217.0,3.2,87.1,66.18,5.4,60.78
