car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607258,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:18:18+00:00,2021-12-04T11:13:12+00:00,2021.10.13 ~ 2021.12.04,3.83,55.44,16.16,100.0,0.0108,90.88,100.0,1046.0,0.5,98.71,83.41,5.4,78.01
M1200607261,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:36:53+00:00,2021-12-08T15:00:45+00:00,2021.10.13 ~ 2021.12.08,2.66,40.0,18.32,100.0,0.0102,92.0,90.0,703.0,1.3,88.48,75.08,5.4,69.68
M1200607264,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-11T18:48:54+00:00,2021-12-08T20:18:08+00:00,2021.10.11 ~ 2021.12.08,2.82,40.37,18.73,100.0,0.0115,89.39,90.0,566.0,0.8,86.66,74.46,5.4,69.06
M1200607265,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:31:33+00:00,2021-12-08T20:50:58+00:00,2021.10.12 ~ 2021.12.08,2.6,40.0,18.22,100.0,0.0093,93.49,90.0,525.0,1.3,85.05,74.76,5.4,69.36
M1200607270,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:02:18+00:00,2021-12-08T15:57:42+00:00,2021.10.12 ~ 2021.12.08,3.17,45.62,18.04,100.0,0.0096,93.03,90.0,538.0,1.0,81.78,76.01,5.4,70.61
M1200607271,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:00:55+00:00,2021-12-08T17:52:28+00:00,2021.10.12 ~ 2021.12.08,3.82,55.38,17.65,100.0,0.01,92.38,90.0,1656.0,0.6,93.66,81.13,5.4,75.73
M1200607273,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T11:03:56+00:00,2021-12-08T20:56:56+00:00,2021.10.14 ~ 2021.12.08,3.71,53.76,17.15,100.0,0.0112,89.92,90.0,935.0,0.9,86.1,78.92,5.4,73.52
M1200607277,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-11T15:56:00+00:00,2021-12-08T18:27:29+00:00,2021.10.11 ~ 2021.12.08,2.88,41.23,20.23,100.0,0.0105,91.53,90.0,1090.0,0.8,98.12,77.02,5.4,71.62
M1200607278,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:17:26+00:00,2021-12-08T18:55:29+00:00,2021.10.13 ~ 2021.12.08,2.94,42.19,17.04,100.0,0.0099,92.54,90.0,310.0,1.2,83.71,75.1,5.4,69.7
M1200607279,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:45:41+00:00,2021-12-07T09:05:25+00:00,2021.10.12 ~ 2021.12.07,3.16,45.4,19.04,100.0,0.0095,93.27,100.0,73.0,2.2,86.99,78.51,5.4,73.11
M1200607281,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T11:16:20+00:00,2021-12-08T20:03:20+00:00,2021.10.14 ~ 2021.12.08,2.78,40.0,18.17,100.0,0.0208,44.9,90.0,319.0,1.5,84.95,66.64,5.4,61.24
