car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1190900291,KONA,소형,4.92,2021.0,1.0,2021.01,2021-10-06T14:33:01+00:00,2021-12-08T23:49:43+00:00,2021.10.06 ~ 2021.12.08,0.31,40.0,21.26,100.0,0.0073,96.03,90.0,618.0,13.2,87.78,75.64,5.4,70.24
M1200606101,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:56:53+00:00,2021-12-08T23:45:20+00:00,2021.11.15 ~ 2021.12.08,0.36,40.0,18.71,100.0,0.0084,94.83,90.0,30.0,24.1,73.33,73.03,5.4,67.63
M1200606102,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:00:47+00:00,2021-12-08T23:35:47+00:00,2021.11.15 ~ 2021.12.08,0.33,40.0,16.39,100.0,0.0085,94.67,90.0,56.0,14.3,85.71,75.06,5.4,69.66
M1200606103,KONA,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:02:18+00:00,2021-12-08T20:40:00+00:00,2021.10.12 ~ 2021.12.08,0.23,40.0,21.22,100.0,0.0074,95.9,90.0,61.0,20.8,79.51,74.23,5.4,68.83
M1200606104,KONA,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:34:12+00:00,2021-12-08T22:54:14+00:00,2021.10.12 ~ 2021.12.08,0.25,40.0,18.87,100.0,0.0074,95.93,90.0,196.0,14.4,76.02,73.66,5.4,68.26
M1200606106,KONA,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:05:17+00:00,2021-12-08T20:37:32+00:00,2021.10.06 ~ 2021.12.08,0.34,40.0,16.85,100.0,0.0095,93.18,90.0,86.0,10.6,81.98,74.19,5.4,68.79
M1200606110,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-22T17:57:43+00:00,2021-12-08T23:30:08+00:00,2021.11.22 ~ 2021.12.08,0.32,40.0,16.8,100.0,0.01,92.39,90.0,51.0,17.5,78.43,73.47,5.4,68.07
M1200606112,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:06:52+00:00,2021-12-08T23:46:50+00:00,2021.11.15 ~ 2021.12.08,0.37,40.0,16.05,100.0,0.0085,94.62,90.0,26.0,10.1,55.77,70.07,5.4,64.67
M1200606114,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:50:32+00:00,2021-12-08T23:58:21+00:00,2021.11.15 ~ 2021.12.08,0.31,40.0,17.63,100.0,0.0089,94.14,90.0,54.0,5.2,78.7,73.81,5.4,68.41
M1200606115,KONA,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:07:17+00:00,2021-12-08T23:30:11+00:00,2021.11.15 ~ 2021.12.08,0.29,40.0,16.79,100.0,0.0082,95.08,90.0,84.0,14.4,69.05,72.35,5.4,66.95
