car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1190900294,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:51:38+00:00,2021-12-08T16:00:10+00:00,2021.11.15 ~ 2021.12.08,0.28,40.0,15.25,100.0,0.0084,94.84,100.0,61.0,13.9,87.7,77.09,5.4,71.69
M1200606135,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:37:35+00:00,2021-12-08T21:51:54+00:00,2021.11.15 ~ 2021.12.08,0.5,40.0,20.61,100.0,0.0163,71.53,90.0,248.0,35.8,100.0,73.59,5.4,68.19
M1200606138,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:39:07+00:00,2021-12-05T15:57:39+00:00,2021.11.15 ~ 2021.12.05,0.37,40.0,15.86,100.0,0.0081,95.09,90.0,62.0,21.6,86.29,75.23,5.4,69.83
M1200606139,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:50:21+00:00,2021-11-24T15:18:36+00:00,2021.11.15 ~ 2021.11.24,0.32,40.0,16.52,100.0,0.0082,95.04,88.68,38.0,17.4,89.47,75.53,5.4,70.13
M1200606141,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:37:47+00:00,2021-12-08T23:51:09+00:00,2021.10.12 ~ 2021.12.08,0.29,40.0,17.67,100.0,0.0074,95.93,90.0,191.0,18.0,85.08,75.17,5.4,69.77
M1200606142,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:01:16+00:00,2021-12-08T22:51:03+00:00,2021.10.12 ~ 2021.12.08,0.27,40.0,19.33,100.0,0.0083,94.93,90.0,184.0,13.9,84.24,74.86,5.4,69.46
M1200606144,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:24:42+00:00,2021-12-08T23:57:04+00:00,2021.11.15 ~ 2021.12.08,0.4,40.0,15.85,100.0,0.0163,71.56,90.0,837.0,24.8,63.02,67.43,5.4,62.03
M1200606145,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T19:11:35+00:00,2021-12-08T22:13:52+00:00,2021.11.15 ~ 2021.12.08,0.36,40.0,17.31,100.0,0.0092,93.68,90.0,158.0,20.2,94.3,76.33,5.4,70.93
M1200606146,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:51:13+00:00,2021-12-08T23:45:21+00:00,2021.11.15 ~ 2021.12.08,0.26,40.0,14.9,100.0,0.0087,94.37,90.0,10.0,13.2,75.0,73.23,5.4,67.83
M1200606150,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-15T18:59:15+00:00,2021-12-08T23:41:52+00:00,2021.11.15 ~ 2021.12.08,0.34,40.0,16.33,100.0,0.0086,94.51,90.0,83.0,12.2,80.12,74.11,5.4,68.71
