car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
V011AI0001,PORTER2,상용차,2.92,2023.0,1.0,2023.01,2023-11-14T04:13:40+00:00,2025-10-31T14:44:03+00:00,2023.11.14 ~ 2025.10.31,4.5,76.28,18.23,100.0,0.0082,95.06,90.76,421.0,35.2,58.33,82.79,3.8,78.99
V007AJ0000,NIRO_LONGRANGE,소형,7.92,2018.0,1.0,2018.01,2023-11-14T09:05:13+00:00,2025-11-01T11:59:54+00:00,2023.11.14 ~ 2025.11.01,7.07,91.6,18.93,100.0,0.0075,95.75,93.46,1001.0,5.9,98.47,95.15,6.7,88.45
V013AK0001,IONIQ6_LONGRANGE,중형,3.92,2022.0,1.0,2022.01,2023-11-29T08:46:22+00:00,2025-10-30T18:24:54+00:00,2023.11.29 ~ 2025.10.30,8.13,100.0,19.11,100.0,0.0083,94.91,91.79,879.0,29.9,79.81,94.42,4.6,89.82
V012BE0144,BONGO3,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T00:10:11+00:00,2024-11-15T02:54:54+00:00,2024.07.17 ~ 2024.11.15,4.6,73.45,26.71,100.0,0.0078,95.45,80.0,758.0,26.1,99.68,87.0,1.4,85.6
V011BE0024,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T02:18:20+00:00,2025-10-29T17:52:24+00:00,2024.07.17 ~ 2025.10.29,4.03,64.94,22.59,100.0,0.009,94.03,80.0,1689.0,41.4,56.86,76.79,1.4,75.39
V011BE0025,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T02:20:45+00:00,2025-03-17T08:09:50+00:00,2024.07.17 ~ 2025.03.17,4.44,71.01,18.95,100.0,0.0069,96.37,80.0,404.0,53.0,59.34,79.62,1.4,78.22
V011BE0023,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T02:13:54+00:00,2025-10-30T15:46:36+00:00,2024.07.17 ~ 2025.10.30,4.45,71.2,19.65,100.0,0.0066,96.61,91.52,521.0,56.1,57.18,81.28,1.4,79.88
V012BE0073,BONGO3,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T01:05:21+00:00,2024-09-20T16:06:34+00:00,2024.07.17 ~ 2024.09.20,4.69,74.78,31.41,97.19,0.0067,96.54,80.0,457.0,2.2,98.04,86.89,1.4,85.49
V012BE0079,BONGO3,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T00:01:39+00:00,2025-04-06T02:56:32+00:00,2024.07.17 ~ 2025.04.06,4.2,67.46,11.95,100.0,0.0065,96.68,91.21,238.0,36.8,82.57,84.23,1.4,82.83
V011BE0022,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T00:00:56+00:00,2025-10-29T02:08:10+00:00,2024.07.17 ~ 2025.10.29,4.4,70.45,21.61,100.0,0.0072,96.08,88.55,1589.0,35.6,67.76,82.22,1.4,80.82
V011BE0031,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T02:46:53+00:00,2024-12-01T06:54:08+00:00,2024.07.17 ~ 2024.12.01,4.07,65.53,23.02,100.0,0.0073,96.01,80.0,85.0,58.7,58.08,77.52,1.4,76.12
V011BE0033,PORTER2,상용차,0.92,2025.0,1.0,2025.01,2024-07-17T02:47:04+00:00,2025-05-17T06:59:57+00:00,2024.07.17 ~ 2025.05.17,4.6,73.45,15.69,100.0,0.0063,96.84,89.15,499.0,45.9,57.49,81.73,1.4,80.33
